Year,Sex,Race,Enrollment
2016,Female,American Indian Alaska Native,8289
2016,Female,Asian,185301
2016,Female,Black African American,162469
2016,Female,Native Hawaiian Pacific Islander,3832
2016,Female,White,2147704
2016,Female,More Than One Race,23184
2016,Male,American Indian Alaska Native,5867
2016,Male,Asian,103565
2016,Male,Black African American,119840
2016,Male,Native Hawaiian Pacific Islander,2992
2016,Male,White,1399518
2016,Male,More Than One Race,11488
2017,Female,American Indian Alaska Native,8456
2017,Female,Asian,1923906
2017,Female,Black African American,139782
2017,Female,Native Hawaiian Pacific Islander,3056
2017,Female,White,1521500
2017,Female,More Than One Race,23780
2017,Male,American Indian Alaska Native,5835
2017,Male,Asian,3075798
2017,Male,Black African American,117312
2017,Male,Native Hawaiian Pacific Islander,2264
2017,Male,White,1264625
2017,Male,More Than One Race,15505
2018,Female,American Indian Alaska Native,10211
2018,Female,Asian,208329
2018,Female,Black African American,189002
2018,Female,Native Hawaiian Pacific Islander,2648
2018,Female,White,1286750
2018,Female,More Than One Race,35429
2018,Male,American Indian Alaska Native,4083
2018,Male,Asian,80030
2018,Male,Black African American,70791
2018,Male,Native Hawaiian Pacific Islander,1398
2018,Male,White,929958
2018,Male,More Than One Race,14286
2019,Female,American Indian Alaska Native,10457
2019,Female,Asian,233303
2019,Female,Black African American,185891
2019,Female,Native Hawaiian Pacific Islander,3145
2019,Female,White,1328632
2019,Female,More Than One Race,32052
2019,Male,American Indian Alaska Native,3941
2019,Male,Asian,84850
2019,Male,Black African American,67415
2019,Male,Native Hawaiian Pacific Islander,1706
2019,Male,White,909335
2019,Male,More Than One Race,12832
2020,Female,American Indian Alaska Native,14376
2020,Female,Asian,258711
2020,Female,Black African American,215875
2020,Female,Native Hawaiian Pacific Islander,3851
2020,Female,White,1509888
2020,Female,More Than One Race,45541
2020,Male,American Indian Alaska Native,5528
2020,Male,Asian,92959
2020,Male,Black African American,74458
2020,Male,Native Hawaiian Pacific Islander,2023
2020,Male,White,951835
2020,Male,More Than One Race,15841
2021,Female,American Indian Alaska Native,19835
2021,Female,Asian,335673
2021,Female,Black African American,387706
2021,Female,Native Hawaiian Pacific Islander,33086
2021,Female,White,2105329
2021,Female,More Than One Race,43192
2021,Male,American Indian Alaska Native,10089
2021,Male,Asian,137938
2021,Male,Black African American,175627
2021,Male,Native Hawaiian Pacific Islander,29970
2021,Male,White,1420952
2021,Male,More Than One Race,13741
