IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
8d77e73daef9e18b3c0cf49cfce53deb,1985,Foreign,Foreign,,252754.4001019905
329cf1e21fdbb919ff0edbefecf17593,1985,Foreign,Foreign,,50208.363542977495
cf4c8f5328bc7625a579a48b21782ad7,1985,Other Domestic NonProfit,North East,PA,295208.7470506797
d98e02f89718ab8ea2e487cc6a78d3d3,1985,Other Higher Education,North East,NY,238605.05764699797
db02da514842b5fa45c1ae78b00c9eab,1985,Medical Schools,Mid West,WI,29873669.82420366
97ae892cfb73e59716a247b5c999ad91,1985,Other Higher Education,North East,PA,546395.9129534535
398ea012bf942b37f0da36272e8d02ca,1985,Foreign,Foreign,,73423.01723112362
5c704da377671651c7763934c74c19c1,1985,Foreign,Foreign,,30017.586768925557
4a2dde7ea16c19cd69e8507aac04fc93,1985,Foreign,Foreign,,224136.58078275868
5f4b9307fff76cb5f3af9a95db633937,1985,Other Higher Education,Mid West,OH,572432.2198975212
d775d23e3295f921abf578993256483d,1985,Other Domestic NonProfit,South,MD,210701.3408456019
01d4528f109a075c6c7ff973517b9c25,1985,Other Domestic NonProfit,South,MD,502974.6838675986
55178f7346c4fb40ff55146107d0403d,1985,Other Higher Education,Mid West,IL,125628.34023295037
4a351de1d621238dfa49d2b31dfa5406,1985,Foreign,Foreign,,155841.83124414805
2593fc5bf89881c58d76b60248655d97,1985,Hospitals,North East,MA,22846056.68235786
6630f447675262c04e7726e9c37f6344,1985,Medical Schools,South,AL,10296847.474951003
5d7cbcbf87fe96b3f7edea1c4b8c3505,1985,Research Institutes,Mid West,MI,10175620.660576139
097ab49c2c63e917b675c136fba3cd66,1985,Foreign,Foreign,AB,259137.0869817282
d0d3909e9627ac1c2d8cc26ed6ad2dad,1985,Hospitals,Mid West,IL,258558.8533694397
9fe3241f9449dcdeb083f32e66b2bab3,1985,Hospitals,North East,PA,192716.0668282206
2764b69646debcd8512fe0e4139d7ecb,1985,Research Institutes,South,LA,1204621.5556024648
a658eaa926ef2838b9e21ba1897a97c1,1985,Research Institutes,South,LA,783392.6599461647
2501229504484c665723f3444f01e2e2,1985,Hospitals,North East,NJ,51465.94244747529
1d06565721242d526974ddebe3f2b31f,1985,Other Domestic NonProfit,North East,PA,473961.89625332097
