,age,degree,gender,FY,race,tot_doll
0,Early,PhD,Female,1985,American Indian/Alaska Native,245787.16
1,Early,MD,Male,1985,American Indian/Alaska Native,341255.73
2,Early,MD-PhD,Male,1985,American Indian/Alaska Native,1243063.03
3,Early,PhD,Male,1985,American Indian/Alaska Native,931707.97
4,Early,MD-PhD,Male,1986,American Indian/Alaska Native,1162575.71
5,Early,PhD,Male,1986,American Indian/Alaska Native,3063484.2399999998
6,Early,MD,Male,1987,American Indian/Alaska Native,818313.36
7,Early,MD-PhD,Male,1987,American Indian/Alaska Native,912234.74
8,Early,PhD,Male,1987,American Indian/Alaska Native,3438982.66
9,Early,PhD,Female,1988,American Indian/Alaska Native,943658.88
10,Early,MD,Male,1988,American Indian/Alaska Native,812006.77
11,Early,MD-PhD,Male,1988,American Indian/Alaska Native,348511.66
12,Mid,MD-PhD,Male,1988,American Indian/Alaska Native,645479.38
13,Early,PhD,Male,1988,American Indian/Alaska Native,4066350.41
14,Early,PhD,Female,1989,American Indian/Alaska Native,890865.47
15,Early,MD,Male,1989,American Indian/Alaska Native,928200.96
16,Early,MD-PhD,Male,1989,American Indian/Alaska Native,361392.71
17,Early,PhD,Male,1989,American Indian/Alaska Native,5664913.42
18,Early,PhD,Female,1990,American Indian/Alaska Native,1795192.55
19,Early,MD,Male,1990,American Indian/Alaska Native,990872.23
20,Early,MD-PhD,Male,1990,American Indian/Alaska Native,724887.2
21,Early,PhD,Male,1990,American Indian/Alaska Native,3799750.48
22,Mid,PhD,Male,1990,American Indian/Alaska Native,1991073.54
23,Early,PhD,Female,1991,American Indian/Alaska Native,1980199.14
24,Mid,MD,Male,1991,American Indian/Alaska Native,743037.46
25,Early,MD-PhD,Male,1991,American Indian/Alaska Native,680483.14
26,Early,PhD,Male,1991,American Indian/Alaska Native,6900078.9
27,Mid,PhD,Male,1991,American Indian/Alaska Native,3688719.57
28,Early,PhD,Female,1992,American Indian/Alaska Native,2707927.36
29,Mid,MD-PhD,Male,1992,American Indian/Alaska Native,891192.53
30,Early,PhD,Male,1992,American Indian/Alaska Native,9864549.49
31,Mid,PhD,Male,1992,American Indian/Alaska Native,1076526.4
32,Early,PhD,Female,1993,American Indian/Alaska Native,3109818.56
33,Mid,MD,Male,1993,American Indian/Alaska Native,1071879.73
34,Mid,MD-PhD,Male,1993,American Indian/Alaska Native,521808.97
35,Early,PhD,Male,1993,American Indian/Alaska Native,9774063.95
36,Mid,PhD,Male,1993,American Indian/Alaska Native,1933889.32
37,Early,PhD,Female,1994,American Indian/Alaska Native,2630171.13
38,Mid,PhD,Female,1994,American Indian/Alaska Native,533580.54
39,Early,MD,Male,1994,American Indian/Alaska Native,346943.1
40,Mid,MD,Male,1994,American Indian/Alaska Native,1178816.83
41,Mid,MD-PhD,Male,1994,American Indian/Alaska Native,527756.6
42,Early,PhD,Male,1994,American Indian/Alaska Native,11032304.38
43,Mid,PhD,Male,1994,American Indian/Alaska Native,2193101.9699999997
44,Early,PhD,Female,1995,American Indian/Alaska Native,1344799.72
45,Mid,PhD,Female,1995,American Indian/Alaska Native,1777315.35
46,Early,MD,Male,1995,American Indian/Alaska Native,384000.89
47,Mid,MD,Male,1995,American Indian/Alaska Native,1145495.84
48,Mid,MD-PhD,Male,1995,American Indian/Alaska Native,483452.67
49,Early,PhD,Male,1995,American Indian/Alaska Native,14496997.92
50,Mid,PhD,Male,1995,American Indian/Alaska Native,1256924.9
51,Early,PhD,Female,1996,American Indian/Alaska Native,1312568.12
52,Mid,PhD,Female,1996,American Indian/Alaska Native,1377382.17
53,Early,MD,Male,1996,American Indian/Alaska Native,356220.65
54,Mid,MD,Male,1996,American Indian/Alaska Native,1161053.33
55,Mid,MD-PhD,Male,1996,American Indian/Alaska Native,433337.3
56,Early,PhD,Male,1996,American Indian/Alaska Native,3420454.18
57,Mid,PhD,Male,1996,American Indian/Alaska Native,12637355.74
58,Early,MD-PhD,Female,1997,American Indian/Alaska Native,153741.12
59,Early,PhD,Female,1997,American Indian/Alaska Native,1056607.33
60,Mid,PhD,Female,1997,American Indian/Alaska Native,1507274.13
61,Mid,MD,Male,1997,American Indian/Alaska Native,1179152.98
62,Mid,MD-PhD,Male,1997,American Indian/Alaska Native,173177.09
63,Early,PhD,Male,1997,American Indian/Alaska Native,2356441.79
64,Mid,PhD,Male,1997,American Indian/Alaska Native,16019493.620000001
65,Early,MD,Female,1998,American Indian/Alaska Native,527136.03
66,Early,MD-PhD,Female,1998,American Indian/Alaska Native,348185.89
67,Early,PhD,Female,1998,American Indian/Alaska Native,1837161.71
68,Mid,PhD,Female,1998,American Indian/Alaska Native,922184.13
69,Mid,MD-PhD,Male,1998,American Indian/Alaska Native,698493.65
70,Early,PhD,Male,1998,American Indian/Alaska Native,582422.37
71,Mid,PhD,Male,1998,American Indian/Alaska Native,15755169.88
72,Early,MD,Female,1999,American Indian/Alaska Native,469373.28
73,Early,MD-PhD,Female,1999,American Indian/Alaska Native,870629.48
74,Early,PhD,Female,1999,American Indian/Alaska Native,2203673.95
75,Mid,PhD,Female,1999,American Indian/Alaska Native,1382764.57
76,Early,MD,Male,1999,American Indian/Alaska Native,402224.94
77,Mid,MD-PhD,Male,1999,American Indian/Alaska Native,677973.58
78,Early,PhD,Male,1999,American Indian/Alaska Native,1277074.57
79,Mid,PhD,Male,1999,American Indian/Alaska Native,16788845.39
80,Early,MD,Female,2000,American Indian/Alaska Native,597510.67
81,Mid,MD,Female,2000,American Indian/Alaska Native,2361101.16
82,Early,MD-PhD,Female,2000,American Indian/Alaska Native,881951.19
83,Early,PhD,Female,2000,American Indian/Alaska Native,2486771.08
84,Mid,PhD,Female,2000,American Indian/Alaska Native,2069934.92
85,Mid,MD,Male,2000,American Indian/Alaska Native,694850.68
86,Mid,MD-PhD,Male,2000,American Indian/Alaska Native,442467.1
87,Early,PhD,Male,2000,American Indian/Alaska Native,1707357.53
88,Mid,PhD,Male,2000,American Indian/Alaska Native,12880915.55
89,Early,MD,Female,2001,American Indian/Alaska Native,127319.33
