,ORGANIZATION NAME,TOTAL FUNDING,TOTAL PROJECT,TOTAL PATENT,TOTAL PUBLICATON
0,"ICHOR MEDICAL SYSTEMS, INC.",1.0,1.0,0.0,7.0
1,EPIDEMIOLOGY RESEARCH AND TRAINING UNIT,1.0,1.0,0.0,1.0
2,PARATEK PHARMACEUTICALS,1.0,1.0,0.0,1.0
3,ANDROSCIENCE CORPORATION,2.0,2.0,0.0,1.0
4,FORS MARSH GROUP LLC,13.0,1.0,0.0,0.0
5,MICHIGAN STATE DEPARTMENT OF HEALTH AND HUMAN SERVICES,1000.0,1.0,0.0,0.0
6,CALIFORNIA DEPARTMENT OF PUBLIC HEALTH,1000.0,1.0,0.0,0.0
7,TENNESSEE STATE DEPARTMENT OF HEALTH,1000.0,1.0,0.0,0.0
8,ARKANSAS STATE DEPARTMENT OF HEALTH,1000.0,1.0,0.0,0.0
9,"CURIRX, INC.",1000.0,1.0,0.0,0.0
10,WISCONSIN DEPARTMENT OF HEALTH SERVICES,1208.0,1.0,0.0,0.0
11,"TREOVIR, INC",1625.0,1.0,0.0,0.0
12,MELANOMA RESEARCH ALLIANCE FOUNDATION,2000.0,1.0,0.0,1.0
13,"ESSEX MANAGEMENT, LLC",2051.0,1.0,0.0,0.0
14,"LIST BIOLOGICAL LABORATORIES, INC.",2500.0,1.0,0.0,0.0
15,"THYMUS, INC.",3000.0,1.0,0.0,0.0
16,INTERNATIONAL BONE AND MINERAL SOCIETY,3000.0,1.0,0.0,0.0
17,AMERICAN SOCIETY OF TROP MED & HYGIENE,3000.0,1.0,0.0,0.0
18,"KMT HEPATECH, INC.",3500.0,1.0,0.0,0.0
19,"TOXTRACK, LLC",4000.0,1.0,0.0,0.0
20,HHV-6 FOUNDATION,4000.0,1.0,0.0,1.0
21,"TECHNO-SCIENCES, INC.",4041.0,1.0,0.0,0.0
22,CLEAN AIR CAROLINA,5000.0,1.0,0.0,0.0
23,PROTEIN SOCIETY,5000.0,1.0,0.0,0.0
24,RENAL RESEARCH INSTITUTE (JOINT VENTURE),5000.0,1.0,0.0,0.0
25,AMERICAN INSTITUTE OF CHEMICAL ENGINEERS,5000.0,1.0,0.0,0.0
26,SUMMER'S WAY FOUNDATION,5000.0,1.0,0.0,0.0
27,CLINICAL IMMUNOLOGY SOCIETY,5000.0,1.0,0.0,1.0
28,"COPD FOUNDATION, INC.",5000.0,1.0,0.0,1.0
29,NATIONAL FRAGILE X FOUNDATION,5831.0,1.0,0.0,0.0
30,AMERICAN UROGYNECOLOGIC SOCIETY,5875.0,1.0,0.0,1.0
31,AMERICAN THORACIC SOCIETY,6000.0,1.0,0.0,0.0
32,NATIONAL CENTER OF SECURITY/PROTECTION,6000.0,1.0,0.0,0.0
33,NATIONAL UREA CYCLE DISORDERS FOUNDATION,6000.0,1.0,0.0,0.0
34,PEDIATRIC INFECTIOUS DISEASES SOCIETY,6000.0,1.0,0.0,0.0
35,DUP15Q ALLIANCE,6000.0,1.0,0.0,0.0
36,SOCIAL SCIENCE RESEARCH COUNCIL,6000.0,1.0,0.0,2.0
37,"KEVRIC COMPANY, INC.",6600.0,1.0,0.0,0.0
38,"ORGANIZATION OF TERATOLOGY INFORMATION SPECIALISTS, NFP",6660.0,1.0,0.0,0.0
39,"ADVANCED DIGITAL SYSTEMS, INC.",7190.0,1.0,0.0,0.0
40,RUNX1 FOUNDATION,8000.0,1.0,0.0,0.0
41,EASTERN KENTUCKY UNIVERSITY,8000.0,1.0,1.0,0.0
42,OXALOSIS AND HYPEROXALURIA FOUNDATION,8500.0,1.0,0.0,0.0
43,"CREAGEN, INC.",8746.0,1.0,0.0,0.0
44,BIOELECTROMAGNETICS SOCIETY,9000.0,1.0,0.0,0.0
45,INDIANA HEMOPHILIA & THROMBOSIS CENTER,9200.0,1.0,0.0,0.0
46,"SOCIETY OF AMERICAN GASTROINTESTINAL ENDOSCOPIC SURGEONS, INC. (SAGES)",9282.0,1.0,0.0,2.0
47,MATERIALS RESEARCH SOCIETY,9680.0,1.0,0.0,0.0
48,"CUREPSP, INC.",10000.0,1.0,0.0,0.0
49,NATIONAL HEMOPHILIA FOUNDATION,10000.0,1.0,0.0,0.0
50,PULMONARY HYPERTENSION ASSOCIATION,10000.0,1.0,0.0,0.0
51,ENGINEERING CONFERENCES INTERNATIONAL,10000.0,1.0,0.0,0.0
52,AMYOTROPIC LATERAL SCLEROSIS ASSOCIATION,10000.0,1.0,0.0,0.0
53,SLEEP RESEARCH SOCIETY,10000.0,1.0,0.0,0.0
54,CHILDREN'S ENVIRONMENTAL HEALTH NETWORK,10000.0,1.0,0.0,0.0
55,AMERICAN PSYCHOSOCIAL ONCOLOGY SOCIETY,10000.0,1.0,0.0,0.0
56,SAPIEN LABS,10000.0,1.0,0.0,0.0
57,KNEE SOCIETY,10000.0,1.0,0.0,1.0
58,DIAMOND BLACKFAN ANEMIA FOUNDATION,10000.0,1.0,0.0,0.0
59,"SOCIETY OF SURGICAL ONCOLOGY, INC.",10000.0,2.0,0.0,0.0
60,"AMERICAN SOCIETY FOR NUTRITION, INC.",10002.0,1.0,0.0,0.0
