,"Research/Disease Areas 
 (Dollars in millions and rounded)",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 Estimated,2023 Estimated,2019 US Mortality 19,2019 US Prevalence SE 19,exist,avg,estimate,pct2023,est_bin,mort_bin,mort_str,est_str
277,Temporomandibular Muscle/Joint Disorder (TMJD) ,19,16.0,17.0,18,21,19,18,16,15,13,14,17,17,14,14,14,1.0,-,15,16.375,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
158,Lead Poisoning ,9,14.0,12.0,10,8,8,7,7,9,10,10,11,11,9,9,10,2.0,-,15,9.625,1.0,11.111111111111116,"(0, 5]","(0.0, 50000.0]",<5k,0 ~ 5
244,Scleroderma ,20,23.0,21.0,25,24,21,24,22,18,17,23,24,24,21,22,22,8.0,-,15,21.9375,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
172,Malaria ,132,121.0,148.0,145,152,147,169,163,183,192,202,196,211,229,239,236,9.0,-,15,179.0625,-3.0,-1.2552301255230103,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
23,Ataxia Telangiectasia ,13,15.0,13.0,13,11,11,8,7,7,10,10,8,10,10,10,10,14.0,-,15,10.375,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
58,Chronic Fatigue Syndrome (ME/CFS) ,4,5.0,6.0,6,5,5,5,6,8,15,14,15,15,17,17,17,16.0,-,15,10.0,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
112,Fetal Alcohol Spectrum Disorders (FASD) 35,34,41.0,38.0,36,32,33,34,32,29,28,34,34,36,38,39,39,19.0,-,15,34.8125,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
283,Tourette Syndrome ,8,10.0,7.0,5,6,4,4,5,5,6,10,11,10,10,10,9,20.0,-,15,7.5,-1.0,-9.999999999999998,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
118,Fragile X Syndrome ,26,32.0,29.0,29,27,30,36,38,44,46,38,37,41,37,38,37,38.0,-,15,35.3125,-1.0,-2.631578947368418,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
156,Interstitial Cystitis ,10,12.0,13.0,13,10,10,9,10,9,10,13,11,13,17,17,17,39.0,-,15,12.125,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
106,Endometriosis ,15,17.0,16.0,14,9,7,7,10,10,6,7,13,14,20,21,21,40.0,-,15,12.9375,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
290,Tuberous Sclerosis ,20,23.0,22.0,20,23,20,24,21,26,21,23,25,27,26,27,27,59.0,-,15,23.4375,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
183,Mucopolysaccharidoses (MPS) ,7,7.0,8.0,10,10,8,6,6,7,7,9,8,9,8,9,9,73.0,-,15,8.0,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
203,Osteogenesis Imperfecta ,5,6.0,12.0,9,9,8,11,11,16,13,12,12,15,13,13,13,85.0,-,15,11.125,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
25,Attention Deficit Hyperactivity Disorder (ADHD) 36,60,84.0,81.0,55,60,49,44,41,47,54,58,64,72,72,76,72,85.0,8.2% (0.36%)00,15,61.8125,-4.0,-5.263157894736848,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
239,Rett Syndrome ,9,13.0,15.0,12,13,13,12,12,14,15,16,15,15,18,18,18,85.0,-,15,14.25,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
306,West Nile Virus ,39,66.0,52.0,65,29,40,48,40,46,42,36,24,27,20,21,20,90.0,-,15,38.4375,-1.0,-4.761904761904767,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
205,Otitis Media ,18,22.0,21.0,15,17,14,16,15,16,9,10,13,10,8,9,9,91.0,-,15,13.875,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
165,Lyme Disease ,22,30.0,29.0,28,25,20,23,24,28,22,30,32,40,39,46,40,96.0,-,15,29.875,-6.0,-13.043478260869568,"(-10, -5]","(0.0, 50000.0]",<5k,-10 ~ -5
8,Allergic Rhinitis (Hay Fever) ,6,5.0,4.0,7,7,9,6,5,7,6,5,7,7,7,8,8,98.0,-,15,6.5,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
113,Fibroid Tumors (Uterine) ,16,20.0,14.0,12,14,10,9,10,12,11,13,17,18,16,17,18,100.0,-,15,14.1875,1.0,5.882352941176472,"(0, 5]","(0.0, 50000.0]",<5k,0 ~ 5
256,Spinal Muscular Atrophy ,10,14.0,19.0,19,15,13,16,11,10,11,12,13,8,9,9,9,117.0,-,15,12.375,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
14,Anorexia ,7,10.0,11.0,11,14,11,11,10,8,10,11,11,13,15,15,14,124.0,-,15,11.375,-1.0,-6.666666666666665,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
207,Paget's Disease ,1,2.0,1.0,1,1,0,0,1,2,2,3,2,3,3,3,3,131.0,-,15,1.75,0.0,0.0,"(-5, 0]","(0.0, 50000.0]",<5k,-5 ~ 0
