,INSTITUTION TYPE,FUNDING MECHANISM,YEAR,CODE,FUNDING
0,Domestic Higher Education,Other Research-Related,2012.0,AK,286934.3333333333
1,Domestic Higher Education,RPGs - Non SBIR/STTR,2012.0,AK,368461.1818181818
2,None,RPGs - Non SBIR/STTR,2012.0,AK,309775.5
3,Domestic Higher Education,Research Centers,2012.0,AK,2311864.0
4,Domestic Higher Education,Other Research-Related,2013.0,AK,200784.33333333334
5,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,AK,397151.71428571426
6,None,RPGs - Non SBIR/STTR,2013.0,AK,240507.33333333334
7,Domestic Higher Education,Research Centers,2013.0,AK,1534396.3333333333
8,Domestic Higher Education,Other Research-Related,2014.0,AK,286918.1666666667
9,None,Other Research-Related,2014.0,AK,210042.0
10,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,AK,208115.5
11,None,RPGs - Non SBIR/STTR,2014.0,AK,288609.0
12,Domestic Higher Education,Research Centers,2014.0,AK,2077791.3333333333
13,Domestic Higher Education,Training - Institutional,2014.0,AK,692305.0
14,Domestic Higher Education,Other Research-Related,2015.0,AK,471581.6
15,None,Other Research-Related,2015.0,AK,242589.0
16,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,AK,360882.4
17,None,RPGs - Non SBIR/STTR,2015.0,AK,260814.5
18,None,RPGs - SBIR/STTR,2015.0,AK,148194.0
19,Domestic Higher Education,Research Centers,2015.0,AK,2433884.0
20,Domestic Higher Education,Training - Institutional,2015.0,AK,1035198.0
21,Domestic Higher Education,Other Research-Related,2016.0,AK,965006.0
22,None,Other Research-Related,2016.0,AK,498588.0
23,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,AK,480856.4285714286
24,None,RPGs - Non SBIR/STTR,2016.0,AK,154556.5
25,Domestic Higher Education,Research Centers,2016.0,AK,2393481.6666666665
26,Domestic Higher Education,Training - Institutional,2016.0,AK,767853.0
27,Domestic Higher Education,Other Research-Related,2017.0,AK,1779512.0
28,None,Other Research-Related,2017.0,AK,259410.0
29,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,AK,474798.1818181818
30,None,RPGs - Non SBIR/STTR,2017.0,AK,416785.0
31,None,RPGs - SBIR/STTR,2017.0,AK,421810.0
32,Domestic Higher Education,Research Centers,2017.0,AK,3078987.5
33,Domestic Higher Education,Training - Institutional,2017.0,AK,1047432.0
34,Domestic Higher Education,Other Research-Related,2018.0,AK,1779512.0
35,None,Other Research-Related,2018.0,AK,378859.75
36,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,AK,433274.6
37,None,RPGs - Non SBIR/STTR,2018.0,AK,580129.6666666666
38,None,RPGs - SBIR/STTR,2018.0,AK,525028.0
39,Domestic Higher Education,Research Centers,2018.0,AK,3095393.0
40,Domestic Higher Education,Training - Institutional,2018.0,AK,1047432.0
41,Domestic Higher Education,Other Research-Related,2019.0,AK,1146775.0
42,None,Other Research-Related,2019.0,AK,481668.0
43,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,AK,453877.3333333333
44,None,RPGs - Non SBIR/STTR,2019.0,AK,490862.75
45,None,RPGs - SBIR/STTR,2019.0,AK,199938.5
46,Domestic Higher Education,Research Centers,2019.0,AK,2337855.5
47,Domestic Higher Education,Training - Institutional,2019.0,AK,523465.0
48,Domestic Higher Education,Other Research-Related,2020.0,AK,1021507.0
49,None,Other Research-Related,2020.0,AK,418881.75
50,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,AK,244381.125
51,None,RPGs - Non SBIR/STTR,2020.0,AK,431377.5
52,None,RPGs - SBIR/STTR,2020.0,AK,55000.0
53,Domestic Higher Education,Research Centers,2020.0,AK,1774777.6
54,Domestic Higher Education,Training - Institutional,2020.0,AK,788899.0
55,Domestic Higher Education,Other Research-Related,2021.0,AK,627712.0
56,None,Other Research-Related,2021.0,AK,464595.6
57,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,AK,663069.0
58,None,RPGs - Non SBIR/STTR,2021.0,AK,396639.6
59,Domestic Higher Education,Research Centers,2021.0,AK,1365889.142857143
60,Domestic Higher Education,Training - Institutional,2021.0,AK,503191.0
61,Domestic Higher Education,Other Research-Related,2012.0,AL,227697.0
62,Independent Hospitals,Other Research-Related,2012.0,AL,391891.0
63,None,Other Research-Related,2012.0,AL,272020.6218181818
64,Research Institutes,Other Research-Related,2012.0,AL,180457.0
65,Domestic Higher Education,RPGs - Non SBIR/STTR,2012.0,AL,333205.28205128206
66,None,RPGs - Non SBIR/STTR,2012.0,AL,423561.462295082
67,Research Institutes,RPGs - Non SBIR/STTR,2012.0,AL,2605366.0
68,None,RPGs - SBIR/STTR,2012.0,AL,606077.7307692308
69,Domestic Higher Education,Research Centers,2012.0,AL,1264662.0
70,None,Research Centers,2012.0,AL,1199406.487654321
